date,stablecoin_velocity_solana,daily_active_addresses_new_wallets_ethereum,daily_active_addresses_new_wallets_solana,energy_per_tx_ethereum,daily_active_addresses_returning_wallets_ethereum,energy_per_tx_solana,gas_consumed_native_solana,gas_consumed_native_ethereum,daily_active_addresses_returning_wallets_solana,daily_return_solana,dex_volumes_solana,dex_volumes_ethereum,tvl_usd_solana,tvl_usd_ethereum,p2p_ratio_ethereum,stablecoin_velocity_ethereum,stablecoin_supply_usd_ethereum,stablecoin_supply_usd_solana,p2p_stablecoin_transfer_volume_solana,stablecoin_transfer_volume_ethereum,stablecoin_transfer_volume_solana,p2p_stablecoin_transfer_volume_ethereum,weekly_unique_contract_deployers_solana,weekly_unique_contract_deployers_ethereum,fees_ethereum,daily_transactions_ethereum,daily_active_addresses_solana,daily_active_addresses_ethereum,fees_solana,daily_transactions_solana,market_cap_ethereum,market_cap_solana,daily_return_ethereum,price_solana,price_ethereum,date.1,daily_active_addresses_bitcoin
2015-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.33,2015-08-03,191102.0
2015-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.33,2015-08-04,191102.0
2015-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.33,2015-08-05,191102.0
2015-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.33,2015-08-06,191102.0
2015-08-07,,,,,,,,,,,,,,,,,,,,,,,,,99.32,2050.0,0.0,784.0,0.0,0.0,80339475.0,0.0,0.0,0.0,1.33,2015-08-07,191102.0
2015-08-08,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2881.0,0.0,605.0,0.0,0.0,80339475.0,0.0,0.0,0.0,1.33,2015-08-08,191102.0
2015-08-09,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1329.0,0.0,462.0,0.0,0.0,80339475.0,0.0,0.0,0.0,1.33,2015-08-09,191102.0
2015-08-10,,,,,,,,,,,,,,,,,,,,,,,0.0,71.0,66.53,2037.0,0.0,821.0,0.0,0.0,64539006.31,0.0,0.1128,0.0,1.48,2015-08-10,185055.42857142855
2015-08-11,,,,,,,,,,,,,,,,,,,,,,,0.0,71.0,28.43,4963.0,0.0,2132.0,0.0,0.0,76013261.05,0.0,0.0,0.0,1.48,2015-08-11,185055.42857142855
2015-08-12,,,,,,,,,,,,,,,,,,,,,,,0.0,71.0,118.97,2036.0,0.0,581.0,0.0,0.0,110468836.22,0.0,0.0,0.0,1.48,2015-08-12,185055.42857142855
2015-08-13,,,,,,,,,,,,,,,,,,,,,,,0.0,71.0,91.04,2842.0,0.0,872.0,0.0,0.0,110555313.26,0.0,0.0,0.0,1.48,2015-08-13,185055.42857142855
2015-08-14,,,,,,,,,,,,,,,,,,,,,,,0.0,71.0,47.97,3174.0,0.0,1115.0,0.0,0.0,101215246.38,0.0,0.0,0.0,1.48,2015-08-14,185055.42857142855
2015-08-15,,,,,,,,,,,,,,,,,,,,,,,0.0,71.0,26.1,2284.0,0.0,857.0,0.0,0.0,89480939.24,0.0,0.0,0.0,1.48,2015-08-15,185055.42857142855
2015-08-16,,,,,,,,,,,,,,,,,,,,,,,0.0,71.0,16.08,2440.0,0.0,765.0,0.0,0.0,87313387.95,0.0,0.0,0.0,1.48,2015-08-16,185055.42857142855
2015-08-17,,,,,,,,,,,,,,,,,,,,,,,0.0,53.0,19.59,2512.0,0.0,816.0,0.0,0.0,92957858.06,0.0,-0.0946,0.0,1.34,2015-08-17,195016.85714285716
2015-08-18,,,,,,,,,,,,,,,,,,,,,,,0.0,53.0,29.83,2494.0,0.0,834.0,0.0,0.0,90920695.87,0.0,0.0,0.0,1.34,2015-08-18,195016.85714285716
2015-08-19,,,,,,,,,,,,,,,,,,,,,,,0.0,53.0,45.81,3246.0,0.0,823.0,0.0,0.0,107749185.84,0.0,0.0,0.0,1.34,2015-08-19,195016.85714285716
2015-08-20,,,,,,,,,,,,,,,,,,,,,,,0.0,53.0,19.28,2303.0,0.0,658.0,0.0,0.0,102131022.83,0.0,0.0,0.0,1.34,2015-08-20,195016.85714285716
2015-08-21,,,,,,,,,,,,,,,,,,,,,,,0.0,53.0,21.69,3919.0,0.0,913.0,0.0,0.0,100308763.78,0.0,0.0,0.0,1.34,2015-08-21,195016.85714285716
2015-08-22,,,,,,,,,,,,,,,,,,,,,,,0.0,53.0,115.32,3579.0,0.0,840.0,0.0,0.0,98488001.44,0.0,0.0,0.0,1.34,2015-08-22,195016.85714285716
2015-08-23,,,,,,,,,,,,,,,,,,,,,,,0.0,53.0,20.07,4190.0,0.0,885.0,0.0,0.0,90625948.32,0.0,0.0,0.0,1.34,2015-08-23,195016.85714285716
2015-08-24,,,,,,,,,,,,,,,,,,,,,,,0.0,39.0,20.61,4432.0,0.0,873.0,0.0,0.0,84423109.08,0.0,-0.097,0.0,1.21,2015-08-24,190393.42857142855
2015-08-25,,,,,,,,,,,,,,,,,,,,,,,0.0,39.0,18.5,4487.0,0.0,951.0,0.0,0.0,81454879.47,0.0,0.0,0.0,1.21,2015-08-25,190393.42857142855
